Date,Value,Type
2/1/23,16,NO2
2/2/23,17,NO2
2/3/23,8,NO2
2/4/23,24,NO2
2/5/23,30,NO2
2/6/23,41,NO2
2/7/23,42,NO2
2/8/23,29,NO2
2/9/23,23,NO2
2/10/23,56,NO2
2/11/23,24,NO2
2/12/23,8,NO2
2/13/23,41,NO2
2/14/23,28,NO2
2/15/23,31,NO2
2/16/23,14,NO2
2/17/23,5,NO2
2/18/23,26,NO2
2/19/23,30,NO2
2/20/23,29,NO2
2/21/23,19,NO2
2/22/23,12,NO2
2/23/23,14,NO2
2/24/23,17,NO2
2/25/23,11,NO2
2/26/23,14,NO2
2/27/23,11,NO2
2/28/23,46,NO2
3/1/23,31,NO2
3/2/23,16,NO2
3/3/23,9,NO2
3/4/23,20,NO2
3/5/23,33,NO2
3/6/23,40,NO2
3/7/23,28,NO2
3/8/23,35,NO2
3/9/23,30,NO2
3/10/23,23,NO2
3/11/23,25,NO2
3/12/23,19,NO2
3/13/23,10,NO2
3/14/23,9,NO2
3/15/23,42,NO2
3/16/23,30,NO2
3/17/23,12,NO2
3/18/23,5,NO2
3/19/23,6,NO2
3/20/23,40,NO2
3/21/23,37,NO2
3/22/23,34,NO2
3/23/23,36,NO2
3/24/23,33,NO2
3/25/23,27,NO2
3/26/23,25,NO2
3/27/23,40,NO2
3/28/23,25,NO2
3/29/23,42,NO2
3/30/23,44,NO2
3/31/23,39,NO2
4/1/23,8,NO2
4/2/23,39,NO2
4/3/23,24,NO2
4/4/23,8,NO2
4/5/23,20,NO2
4/6/23,18,NO2
4/7/23,10,NO2
4/8/23,3,NO2
4/9/23,10,NO2
4/10/23,33,NO2
4/11/23,38,NO2
4/12/23,34,NO2
4/13/23,25,NO2
4/14/23,15,NO2
4/15/23,13,NO2
4/16/23,14,NO2
4/17/23,34,NO2
4/18/23,39,NO2
4/19/23,40,NO2
4/20/23,33,NO2
4/21/23,27,NO2
4/22/23,27,NO2
4/23/23,22,NO2
4/24/23,15,NO2
4/25/23,27,NO2
4/26/23,6,NO2
4/27/23,9,NO2
4/28/23,25,NO2
4/29/23,20,NO2
4/30/23,8,NO2
5/1/23,21,NO2
5/2/23,25,NO2
5/3/23,34,NO2
5/4/23,41,NO2
5/5/23,26,NO2
5/6/23,6,NO2
5/7/23,16,NO2
5/8/23,22,NO2
5/9/23,25,NO2
5/10/23,16,NO2
5/11/23,7,NO2
5/12/23,8,NO2
5/13/23,17,NO2
5/14/23,17,NO2
5/15/23,8,NO2
5/16/23,11,NO2
5/17/23,17,NO2
5/18/23,10,NO2
5/19/23,4,NO2
5/20/23,5,NO2
5/21/23,5,NO2
5/22/23,8,NO2
5/23/23,9,NO2
5/24/23,22,NO2
5/25/23,24,NO2
5/26/23,7,NO2
5/27/23,5,NO2
5/28/23,18,NO2
5/29/23,11,NO2
5/30/23,21,NO2
5/31/23,7,NO2
6/1/23,25,NO2
6/2/23,24,NO2
6/3/23,32,NO2
6/4/23,27,NO2
6/5/23,19,NO2
6/6/23,24,NO2
6/7/23,25,NO2
6/8/23,35,NO2
6/9/23,39,NO2
6/10/23,35,NO2
6/11/23,8,NO2
6/12/23,18,NO2
6/13/23,25,NO2
6/14/23,11,NO2
6/15/23,14,NO2
6/16/23,25,NO2
6/17/23,28,NO2
6/18/23,26,NO2
6/19/23,6,NO2
6/20/23,10,NO2
6/21/23,5,NO2
6/22/23,11,NO2
6/23/23,20,NO2
6/24/23,21,NO2
6/25/23,21,NO2
6/26/23,21,NO2
6/27/23,26,NO2
6/28/23,27,NO2
6/29/23,29,NO2
6/30/23,31,NO2
7/1/23,7,NO2
7/2/23,9,NO2
7/3/23,18,NO2
7/4/23,16,NO2
7/5/23,20,NO2
7/6/23,24,NO2
7/7/23,15,NO2
